subject, course_num
XCHG,002
XCHG,003
AGRC,111
ANBI,475
ANTH,111
ARCH,300
ART,111
ART,112
ART,136
ART,141
ART,216
ART,251
ART,495
EART,303
ARTH,308
ASKI,101
ASTR,102
BIOL,121
BIOL,350
CTST,200
CHEM,250
CLAS,103
CLAS,225
COMM,205
COMM,207
COMM,210
COMM,307
COMM,323
COMM,363
CHEP,898
CMPT,140
CMPT,215
CMPT,260
CMPT,280
CMPT,898
CORR,820
CORR,830
CORR,840
CORR,860
CREE,101
ECUR,433
ECUR,434
ECUR,898
DRAM,110
DRAM,210
ECON,214
ECON,343
EPSE,390
EPSE,417
EPSE,888
ERES,810
EADM,411
EADM,820
EADM,821
EADM,826
EADM,830
EADM,894
EADM,895
EADM,990
EFDT,817
EFDT,842
EFDT,844
EFDT,898
EFDT,990
ETAD,803
ETAD,898
ETAD,991
ENG,111
ENG,113
ENG,114
ENG,225
ENG,246
ENG,277
ENG,359
ENVS,898
GEOL,898
XGPC,000
INDG,107
INDG,498
INTS,100
JSGS,898
KIN,146
KIN,445
LING,110
LING,111
XMBA,000
XMED,003
MBA,828
MBA,830
MBA,889
MPAC,823
MPAC,825
MPAC,833
MPAC,835
MPAC,837
MPAC,892
MPAC,992
MATH,102
MATH,104
MATH,110
MATH,116
MATH,164
MATH,224
MATH,258
MATH,363
ME,898
MEDC,111
MEDC,211
MEDC,306
MEDC,311
MUS,101
MUS,111
NURS,203
NURS,205
NURS,220
NURS,221
NURS,331
NURS,478
NUTR,366
PHAR,185
PHAR,250
PHAR,285
PHAR,480
PHIL,236
PTH,855
PTH,856
PHYS,891
PHYS,897
PHPY,304
PLSC,235
POLS,111
POLS,205
POLS,323
POLS,383
POLS,384
POLS,898
PSY,120
PSY,121
PSY,214
PSY,223
PSY,226
PSY,235
PSY,243
PSY,260
VSAC,835
VSAC,980
SOC,112
SOC,233
SOC,309
SOC,329
STAT,245
VINT,580
XVRS,005
WGST,112
WGST,210
XCHG,000
ACC,400
AREC,251
AREC,254
AREC,298
AREC,315
AREC,320
AREC,346
AREC,361
AREC,420
AREC,428
AREC,430
AREC,432
AREC,440
AREC,492
AREC,494
AREC,820
AREC,851
AREC,990
AREC,994
AREC,996
