 ,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Type,Days,Time,Cap,Avail,Instructor,Date (DD-MM),Location,Attribute
 ,87384,XCHG,000,06,OFF,9.0,On Academic Exchange Masaryk Univeristy in Czech RepublicU of S Int'l Approval Required,XNA,,TBA,10,9,TBA,17-Sep21-Dec,TBA,No Academic CreditOff Campus Student FeesTuition - Outbound ExchangeAcademic Exchange Program
 ,87442,XCHG,000,24,OFF,15.0,On Academic Exchange at University of Canberra in Australia ,XNA,,TBA,10,9,TBA,01-Jul30-Nov,TBA,No Academic CreditOff Campus Student FeesTuition - Outbound ExchangeAcademic Exchange Program
 ,87382,XCHG,000,25,OFF,15.0,On Academic Exchange The University Centre in Svalbard in NorwayU of S Int'l Approval Required,XNA,,TBA,10,9,TBA,01-Aug15-Dec,TBA,No Academic CreditOff Campus Student FeesTuition - Outbound ExchangeAcademic Exchange Program
 ,87381,XCHG,000,30,OFF,15.0,On Academic Exchange Stockholms universitet in SwedenU of S Int'l Approval Required,XNA,,TBA,10,9,TBA,03-Sep20-Jan,TBA,No Academic CreditOff Campus Student FeesTuition - Outbound ExchangeAcademic Exchange Program
 ,87380,XCHG,000,35,OFF,15.0,On Academic Exchange Philipps-Universität Marburg in GermanyU of S Int'l Approval Required,XNA,,TBA,10,9,TBA,01-Oct30-Mar,TBA,No Academic CreditOff Campus Student FeesTuition - Outbound ExchangeAcademic Exchange Program
 ,87401,XCHG,000,36,OFF,15.0,On Academic Exchange University of Liverpool in Unted KingdomU of S Int'l Approval Required,XNA,,TBA,10,8,TBA,17-Sep25-Jan,TBA,No Academic CreditOff Campus Student FeesTuition - Outbound ExchangeAcademic Exchange Program
 ,87400,XCHG,000,39,OFF,15.0,On Academic Exchange University of Essex in United Kingdom ,XNA,,TBA,10,7,TBA,04-Oct14-Dec,TBA,No Academic CreditOff Campus Student FeesTuition - Outbound ExchangeAcademic Exchange Program
 ,87376,XCHG,000,40,OFF,15.0,On Academic Exchange Nanyang Technological University in SingaporeU of S Int'l Approval Required,XNA,,TBA,10,9,TBA,13-Aug06-Dec,TBA,No Academic CreditOff Campus Student FeesTuition - Outbound ExchangeAcademic Exchange Program
 ,87399,XCHG,000,41,OFF,15.0,On Academic Exchange Universitetet i Oslo in NorwayU of S Int'l Approval Required,XNA,,TBA,10,9,TBA,13-Aug21-Dec,TBA,No Academic CreditOff Campus Student FeesTuition - Outbound ExchangeAcademic Exchange Program
 ,87441,XCHG,000,42,OFF,15.0,On Academic Exchange Luleå tekniska universitet in SwedenU of S Int'l Approval Required,XNA,,TBA,10,9,TBA,01-Sep02-Nov,TBA,No Academic CreditOff Campus Student FeesTuition - Outbound ExchangeAcademic Exchange Program
