 ,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Type,Days,Time,Cap,Avail,Instructor,Date (DD-MM),Location,Attribute
 ,41224,XCHG,000,30,OFF,15.0,Acad Exch Yokohama NationalU of S Int'l Approval Required,XNA,,TBA,10,10,TBA,01-Jun22-Jun,TBA,No Academic CreditOff Campus Student FeesTuition - Outbound ExchangeAcademic Exchange Program
 ,41360,AREC,994,01,SK,7.5,Research ,SSI,,TBA,40,24,TBA,09-May22-Jun,TBA,1st Half of a Multi-term ClassNo Academic CreditOn Campus Student FeesFee - Graduate Studies
 ,41361,AREC,996,01,SK,7.5,Research ,SSI,,TBA,40,33,TBA,09-May22-Jun,TBA,1st Half of a Multi-term ClassNo Academic CreditOn Campus Student FeesFee - Graduate Studies
 ,40508,AGRC,112,W01,OFF,1.5,Animal Agriculture and Food Science ,WEB,,TBA,50,28,Dianne C  Winkelman-Sim (P),09-May22-Jun,TBA,Distance Education Unit1st Half of a Multi-term ClassOff Campus Student FeesTuition - Category 13Class Is Offered On-Line Only
 ,41002,ACB,994,01,SK,7.5,Research ,SSI,,TBA,10,6,David J  Schreyer (P),09-May22-Jun,TBA,1st Half of a Multi-term ClassNo Academic CreditOn Campus Student FeesFee - Graduate Studies
 ,40194,ACB,996,01,SK,7.5,Research ,SSI,,TBA,45,35,David J  Schreyer (P),09-May22-Jun,TBA,1st Half of a Multi-term ClassNo Academic CreditOn Campus Student FeesFee - Graduate Studies
 ,41622,ANSC,898,02,SK,1.5,Fibre Digestion in Ruminants ,RDG,,TBA,1,0,Greg B  Penner (P),09-May22-Jun,TBA,1st Half of a Multi-term ClassOn Campus Student FeesFee - Graduate Studies
 ,40134,ANSC,994,01,SK,7.5,Research ,SSI,,TBA,50,6,TBA,09-May22-Jun,TBA,1st Half of a Multi-term ClassNo Academic CreditOn Campus Student FeesFee - Graduate Studies
 ,40193,ANSC,996,01,SK,7.5,Research ,SSI,,TBA,30,4,TBA,09-May22-Jun,TBA,1st Half of a Multi-term ClassNo Academic CreditOn Campus Student FeesFee - Graduate Studies
 ,41421,ANTH,111,01,SK,3.0,One World Many Peoples Introduction to Cultural Anthropology ,LEC,MTWRF,11:00-13:20,75,57,Clinton N  Westman (P),04-Jun22-Jun,AGRI 2E25,On Campus Student FeesSocial Sciences Program TypeTuition - Category 1
 ,40108,ANTH,111,X01,OFF,1.5,One World Many Peoples Introduction to Cultural Anthropology ,IND,,TBA,30,24,Elaine   Hulse (P),09-May22-Jun,TBA,Distance Education UnitMaterials Fees Assessed1st Half of a Multi-term ClassOff Campus Student FeesSocial Sciences Program TypeTuition - Category 1
 ,41489,ANTH,233*,61,OFF,3.0,Anthropological Perspectives on Contemporary UkraineDepartmental Approval Required,LEC,,TBA,5,0,Natalia   Khanenko-Friesen (P),30-Apr08-Jun,UKRN ,Audit Allowed with PermissionStudy abroadOff Campus Student FeesSocial Sciences Program TypeSt. Thomas More College ClassTuition - Category 1
 ,40135,ANTH,994,01,SK,7.5,Research ,SSI,,TBA,18,1,Clinton N  Westman (P),09-May22-Jun,TBA,1st Half of a Multi-term ClassNo Academic CreditOn Campus Student FeesFee - Graduate Studies
 ,40195,APMC,996,01,SK,7.5,Research ,SSI,,TBA,20,16,TBA,09-May22-Jun,TBA,1st Half of a Multi-term ClassNo Academic CreditOn Campus Student FeesFee - Graduate Studies
 ,41422,ARCH,112,01,SK,3.0,The Human Journey Introduction to Archaeology and Biological Anthropology ,LEC,MTWRF,11:00-13:20,75,49,Aileen A  Novecosky (P),09-May30-May,AGRI 2E25,On Campus Student FeesSocial Sciences Program TypeTuition - Category 8
 ,40112,ARCH,112,X01,OFF,1.5,The Human Journey Introduction to Archaeology and Biological Anthropology ,IND,,TBA,30,22,Aileen A  Novecosky (P),09-May22-Jun,TBA,Distance Education UnitMaterials Fees Assessed1st Half of a Multi-term ClassOff Campus Student FeesSocial Sciences Program TypeTuition - Category 8
 ,41496,ARCH,300*,01,SK,3.0,Advanced Environmental ArchaeologyDepartmental Approval Required,RDG,,TBA,1,0,Glenn S  Stuart (P),09-May22-Jun,NA NO ROOM,Undergraduate researchOn Campus Student FeesSocial Sciences Program TypeTuition - Category 8
 ,41419,ARCH,361*,U01,OFF,6.0,Archaeological Field Methods ,FLD,MTWRF,9:00-15:00,30,17,Ernie G  Walker (P), Glenn S  Stuart ,09-May22-Jun,TBA,Field-based instructionOff Campus Student FeesSocial Sciences Program TypeTuition - Category 8Exam Date TBA by Instructor
 ,40137,ARCH,994,01,SK,7.5,Research ,SSI,,TBA,23,7,Clinton N  Westman (P), Glenn S  Stuart ,09-May22-Jun,TBA,1st Half of a Multi-term ClassNo Academic CreditOn Campus Student FeesFee - Graduate Studies
