 ,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Type,Days,Time,Cap,Avail,Instructor,Date (DD-MM),Location,Attribute
 ,28198,XATA,000,01,SK,0.0,AR Term Abroad ,XNA,,TBA,25,11,TBA,03-Jan05-Apr,NA NO_ROOM,No Academic CreditOff Campus Student FeesExclude from T2202A ProcessingNo Tuition Assessed
 ,28199,XATA,000,02,SK,0.0,AR Term Abroad ,XNA,,TBA,25,21,TBA,03-Jan05-Apr,NA NO_ROOM,No Academic CreditOff Campus Student FeesExclude from T2202A ProcessingNo Tuition Assessed
 ,28200,XATA,000,03,SK,0.0,AR Term Abroad ,XNA,,TBA,25,12,TBA,03-Jan05-Apr,NA NO_ROOM,No Academic CreditOff Campus Student FeesExclude from T2202A ProcessingNo Tuition Assessed
 ,28201,XATA,000,04,SK,0.0,AR Term Abroad ,XNA,,TBA,25,25,TBA,03-Jan05-Apr,NA NO_ROOM,No Academic CreditOff Campus Student FeesExclude from T2202A ProcessingNo Tuition Assessed
 ,28202,XATA,000,05,SK,0.0,AR Term Abroad ,XNA,,TBA,25,1,TBA,03-Jan05-Apr,NA NO_ROOM,No Academic CreditOff Campus Student FeesExclude from T2202A ProcessingNo Tuition Assessed
 ,27370,XCHG,000,0,OFF,15.0,On Acad. Exch. TC DublinU of S Int'l Approval Required,XNA,,TBA,10,10,TBA,01-Jan21-Mar,TBA,No Academic CreditOff Campus Student FeesTuition - Outbound ExchangeAcademic Exchange Program
 ,27386,XCHG,000,0,OFF,15.0,On Acad. Exch. DarmstadtU of S Int'l Approval Required,XNA,,TBA,10,10,TBA,01-Jan05-Apr,TBA,No Academic CreditOff Campus Student FeesTuition - Outbound ExchangeAcademic Exchange Program
 ,27550,XCHG,000,001,OFF,15.0,Acad Exch. Queen's BelfastU of S Int'l Approval Required,XNA,,TBA,10,10,TBA,01-Jan05-Apr,TBA,No Academic CreditOff Campus Student FeesTuition - Outbound ExchangeAcademic Exchange Program
 ,28114,XCHG,000,02,OFF,15.0,On Academic Exchange University of Tsukuba in JapanU of S Int'l Approval Required,XNA,,TBA,10,10,TBA,01-Apr30-Aug,TBA,No Academic CreditOff Campus Student FeesTuition - Outbound ExchangeAcademic Exchange Program
 ,28113,XCHG,000,09,OFF,15.0,On Academic Exchange at University of Liverpool in United KingdomU of S Int'l Approval Required,XNA,,TBA,10,9,TBA,28-Jan31-May,TBA,No Academic CreditOff Campus Student FeesTuition - Outbound ExchangeAcademic Exchange Program
 ,28149,XCHG,000,1,OFF,15.0,On Academic Exchange Univesity of Birmingham in United KingdomU of S Int'l Approval Required,XNA,,TBA,10,10,TBA,07-Jan21-Jun,TBA,No Academic CreditOff Campus Student FeesTuition - Outbound ExchangeAcademic Exchange Program
 ,28112,XCHG,000,101,OFF,15.0,On Academic Exchange at Waseda University in JapanU of S Int'l Approval Required,XNA,,TBA,10,10,TBA,01-Apr15-Aug,TBA,No Academic CreditOff Campus Student FeesTuition - Outbound ExchangeAcademic Exchange Program
 ,28239,XCHG,000,111,OFF,15.0,On Academic Exchange Chung Ang in KoreaU of S Int'l Approval Required,XNA,,TBA,10,-1,TBA,04-Mar21-Jun,TBA,No Academic CreditOff Campus Student FeesTuition - Outbound ExchangeAcademic Exchange Program
 ,28092,XCHG,000,24,OFF,15.0,On Academic Exchange Peking Univesity in ChinaU of S Int'l Approval Required,XNA,,TBA,10,10,TBA,28-Feb30-Jun,TBA,No Academic CreditOff Campus Student FeesTuition - Outbound ExchangeAcademic Exchange Program
 ,28094,XCHG,000,26,OFF,15.0,On Academic Exchange Stockholms universitet in SwedenU of S Int'l Approval Required,XNA,,TBA,10,9,TBA,21-Jan09-Jun,TBA,No Academic CreditOff Campus Student FeesTuition - Outbound ExchangeAcademic Exchange Program
 ,28097,XCHG,000,27,OFF,15.0,On Academic Exchange Université Paris 1 Panthéon-Sorbonne in France ,XNA,,TBA,10,10,TBA,21-Jan16-May,TBA,No Academic CreditOff Campus Student FeesTuition - Outbound ExchangeAcademic Exchange Program
 ,28096,XCHG,000,28,OFF,15.0,On Academic Exchange Univesidad de Chile in ChileU of S Int'l Approval Required,XNA,,TBA,10,9,TBA,01-Mar30-Jun,TBA,No Academic CreditOff Campus Student FeesTuition - Outbound ExchangeAcademic Exchange Program
 ,27393,XCHG,000,29,OFF,15.0,On Acad. Exchg. Queens BelfastU of S Int'l Approval Required,XNA,,TBA,10,10,TBA,01-Jan05-Apr,TBA,No Academic CreditOff Campus Student FeesTuition - Outbound ExchangeAcademic Exchange Program
 ,28098,XCHG,000,34,OFF,15.0,On Academic Exchange Universitetet i Oslo in Norway ,XNA,,TBA,3,0,TBA,02-Jan14-Jun,TBA,No Academic CreditOff Campus Student FeesTuition - Outbound ExchangeAcademic Exchange Program
