crn,profId,location,days,start_date,end_date,start_time,end_time,course,term
61123,0,TBA,,2019-7-20,2019-8-18,TBA,TBA,0,2019summer
61129,0,TBA,,2019-7-20,2019-8-18,TBA,TBA,0,2019summer
61107,0,TBA,,2019-7-01,2019-7-30,TBA,TBA,1,2019summer
60792,1,TBA,,2019-6-27,2019-8-13,TBA,TBA,2,2019summer
60804,2,TBA,,2019-8-10,2019-8-24,TBA,TBA,3,2019summer
60955,3,AGRI 5C61,MTWRF,2019-6-27,2019-7-18,11:00,13:20,4,2019summer
61082,4,TBA,MTWRF,2019-7-08,2019-8-23,8:00,11:59,5,2019summer
61083,4,TBA,MTWRF,2019-7-08,2019-8-23,12:00,16:00,5,2019summer
60006,5,MURRY 291,MTWR,2019-6-27,2019-8-13,13:30,16:20,6,2019summer
60008,6,MURRY 190,MTWR,2019-6-27,2019-8-13,9:30,12:20,7,2019summer
60717,7,MURRY 184,MTWR,2019-6-27,2019-7-18,9:30,12:20,8,2019summer
60674,7,RANNEX 129,MTWR,2019-7-23,2019-8-13,13:30,16:20,9,2019summer
61024,8,MURRY 182,MTWR,2019-6-27,2019-8-13,13:30,16:20,10,2019summer
60972,9,MURRY 64,MTWR,2019-6-27,2019-7-18,9:30,12:20,11,2019summer
61091,0,TBA,,2019-6-27,2019-8-13,TBA,TBA,12,2019summer
60772,10,EDUC 1019,MTWR,2019-6-27,2019-7-18,13:00,16:20,13,2019summer
61025,11,MURRY 299,MTWR,2019-6-27,2019-7-18,9:30,12:20,14,2019summer
60937,12,ARCH 124,MTWRFSU,2019-6-27,2019-8-13,8:30,11:50,15,2019summer
60654,13,ARTS 133,MTWRF,2019-7-23,2019-8-13,9:00,11:20,16,2019summer
60619,14,ARTS 134,MTWRF,2019-7-23,2019-8-13,8:30,10:50,17,2019summer
60925,15,TBA,MTWRFSU,2019-8-19,2019-8-30,8:30,17:50,18,2019summer
60877,16,TBA,,2019-6-27,2019-7-18,TBA,TBA,19,2019summer
60029,17,PHYSIC 107,MTWRF,2019-6-27,2019-7-18,8:30,10:50,20,2019summer
60926,18,TBA,,2019-6-27,2019-8-13,TBA,TBA,21,2019summer
61015,19,STM 200,MTWRF,2019-6-27,2019-7-18,11:00,13:20,22,2019summer
60980,20,ESB 103,TR,2019-6-27,2019-8-13,19:00,21:50,23,2019summer
60047,21,ESB 144,MW,2019-6-27,2019-8-13,16:00,18:50,24,2019summer
60414,22,ARTS 109,TR,2019-6-27,2019-8-13,16:00,18:50,25,2019summer
61016,23,ESB 112,TR,2019-6-27,2019-8-13,16:00,18:50,26,2019summer
60051,24,ESB 46,MW,2019-6-27,2019-8-13,16:00,18:50,27,2019summer
60520,25,ESB 46,TR,2019-6-27,2019-8-13,16:00,18:50,28,2019summer
61078,26,HLTH B407,MTWR,2019-8-12,2019-8-31,9:00,13:20,29,2019summer
60861,27,THORV 205A,MWF,2019-6-27,2019-8-13,9:00,10:50,30,2019summer
60862,27,THORV 205A,MWF,2019-6-27,2019-8-13,9:00,10:50,30,2019summer
60930,0,THORV S320,MWF,2019-6-27,2019-8-13,11:30,12:20,30,2019summer
60931,0,THORV S320,MWF,2019-6-27,2019-8-13,12:30,13:20,30,2019summer
60040,28,THORV 124,TR,2019-6-27,2019-8-13,8:30,11:20,31,2019summer
60875,0,THORV S311,TR,2019-6-27,2019-8-13,12:00,13:20,31,2019summer
60876,0,THORV S311,TR,2019-6-27,2019-8-13,13:30,14:50,31,2019summer
60042,29,THORV 124,MWF,2019-6-27,2019-8-13,13:00,14:50,32,2019summer
60379,30,THORV 124,MWF,2019-6-27,2019-8-13,8:30,10:20,33,2019summer
61122,31,THORV S342,MR,2019-6-27,2019-8-13,13:30,16:45,34,2019summer
60628,0,TBA,,2019-6-27,2019-8-13,TBA,TBA,35,2019summer
60629,0,TBA,,2019-6-27,2019-8-13,TBA,TBA,36,2019summer
60630,0,TBA,,2019-6-27,2019-8-13,TBA,TBA,37,2019summer
60626,0,TBA,,2019-6-27,2019-8-13,TBA,TBA,38,2019summer
60801,32,KIRK 144,MTWRF,2019-6-27,2019-8-13,11:00,13:20,39,2019summer
61065,33,ARTS 105,WRFSU,2019-8-07,2019-8-11,9:00,16:20,40,2019summer
61098,0,TBA,,2019-7-10,2019-7-14,9:00,16:20,41,2019summer
61071,34,TBA,,2019-6-27,2019-7-18,TBA,TBA,42,2019summer
61072,34,TBA,,2019-7-23,2019-8-13,TBA,TBA,42,2019summer
61081,35,TBA,,2019-7-23,2019-8-13,TBA,TBA,42,2019summer
60789,36,JMITCH 131,MTWRF,2019-6-27,2019-7-18,10:30,12:50,43,2019summer
60523,37,JMITCH 88,MTWRF,2019-7-23,2019-8-13,10:00,11:20,44,2019summer
61006,38,STM 1001,MTWRF,2019-6-27,2019-7-18,11:00,13:20,45,2019summer
60845,39,ARTS 109,MTWRF,2019-7-23,2019-8-13,8:30,10:50,46,2019summer
60901,40,EDUC 1251,MTWR,2019-7-23,2019-8-13,10:00,13:20,47,2019summer
60873,41,TBA,,2019-6-27,2019-8-13,TBA,TBA,48,2019summer
61008,41,TBA,,2019-6-27,2019-8-13,TBA,TBA,48,2019summer
61045,42,NA ,,2019-6-27,2019-7-23,TBA,TBA,49,2019summer
61102,43,TBA,MTWRFS,2019-7-22,2019-7-27,TBA,TBA,50,2019summer
60959,44,EDUC 1037,MTWR,2019-6-27,2019-7-18,10:00,13:20,51,2019summer
60941,45,EDUC 1039,MTWRF,2019-7-08,2019-7-12,9:00,15:50,52,2019summer
60943,46,EDUC 2002,MTWRF,2019-8-07,2019-8-13,9:00,15:50,53,2019summer
61001,47,EDUC 2005,MTWRF,2019-8-05,2019-8-09,9:00,15:50,54,2019summer
61000,48,EDUC 2002,MTWRF,2019-7-15,2019-7-19,9:00,15:50,55,2019summer
60827,48,TBA,TWRF,2019-7-02,2019-7-05,16:00,17:50,56,2019summer
60584,45,EDUC 1004,TWRF,2019-7-02,2019-7-05,16:00,17:50,56,2019summer
61040,49,EDUC 1004,MTWRF,2019-7-02,2019-7-08,9:00,15:50,57,2019summer
60272,50,TBA,,2019-6-27,2019-8-13,TBA,TBA,58,2019summer
60580,51,TBA,MTWRFU,2019-7-28,2019-8-02,TBA,TBA,59,2019summer
61027,52,EDUC 1251,MTWRF,2019-7-03,2019-7-12,10:00,15:45,60,2019summer
61028,52,EDUC 2005,MTWRF,2019-7-17,2019-7-26,10:00,15:45,61,2019summer
61094,43,TBA,,2019-6-27,2019-8-13,TBA,TBA,62,2019summer
60891,53,EDUC 2002,F,2019-7-12,2019-7-12,17:00,20:00,63,2019summer
60766,54,TBA,,2019-6-27,2019-8-13,TBA,TBA,64,2019summer
61044,55,TBA,,2019-7-23,2019-8-13,TBA,TBA,65,2019summer
61032,55,TBA,,2019-6-27,2019-8-13,TBA,TBA,66,2019summer
61022,56,ARTS 212,MTWRF,2019-7-23,2019-8-13,10:00,12:20,67,2019summer
61023,57,ARTS 208,MTWRF,2019-6-27,2019-7-18,9:30,11:50,68,2019summer
60912,57,ARTS 213,MTWRF,2019-7-23,2019-8-13,13:30,15:50,69,2019summer
60727,58,TBA,,2019-6-27,2019-8-13,TBA,TBA,69,2019summer
60928,59,STM 260,MTWRF,2019-6-27,2019-7-18,13:30,15:50,70,2019summer
60949,60,ARTS 213,MTWRF,2019-7-23,2019-8-13,10:30,12:50,71,2019summer
60927,61,TBA,,2019-6-27,2019-8-13,TBA,TBA,72,2019summer
60999,62,TBA,,2019-6-27,2019-8-13,TBA,TBA,73,2019summer
61079,63,TBA,,2019-6-27,2019-8-18,TBA,TBA,74,2019summer
61084,64,TBA,MTWRF,2019-6-27,2019-7-18,TBA,TBA,75,2019summer
60785,0,TBA,,2019-6-27,2019-8-13,TBA,TBA,76,2019summer
60897,65,GEOL 165,MTWRFSU,2019-6-24,2019-8-13,13:00,16:20,77,2019summer
60738,66,TBA,,2019-6-27,2019-8-13,TBA,TBA,77,2019summer
61011,67,TBA,MTWRFSU,2019-7-01,2019-7-15,TBA,TBA,78,2019summer
60745,68,TBA,,2019-6-27,2019-8-13,TBA,TBA,79,2019summer
61135,69,DIEF 137,MTWRF,2019-8-12,2019-8-23,9:00,16:50,80,2019summer
61067,70,NA ,MTWRF,2019-7-23,2019-8-13,13:00,15:50,81,2019summer
61134,0,TBA,,2019-7-23,2019-8-13,TBA,TBA,82,2019summer
60939,71,TBA,,2019-6-27,2019-7-18,TBA,TBA,83,2019summer
61003,72,TBA,,2019-6-27,2019-7-18,TBA,TBA,84,2019summer
60407,0,TBA,,2019-6-27,2019-8-13,TBA,TBA,85,2019summer
61005,0,TBA,,2019-6-27,2019-8-13,TBA,TBA,86,2019summer
60406,73,ESB 243,MWR,2019-7-15,2019-8-01,17:00,20:50,87,2019summer
60776,74,ESB 243,MWR,2019-6-17,2019-7-04,15:00,18:50,88,2019summer
60527,75,ESB 243,TRF,2019-8-06,2019-8-09,15:00,18:50,89,2019summer
60963,76,TBA,,2019-6-24,2019-7-26,TBA,TBA,90,2019summer
60964,76,TBA,,2019-6-24,2019-7-26,TBA,TBA,90,2019summer
60746,77,TBA,,2019-7-10,2019-8-09,TBA,TBA,91,2019summer
60747,77,TBA,,2019-7-10,2019-8-09,TBA,TBA,91,2019summer
61034,78,TBA,,2019-6-13,2019-7-26,TBA,TBA,92,2019summer
61035,78,TBA,,2019-6-13,2019-7-26,TBA,TBA,92,2019summer
61036,79,TBA,,2019-6-19,2019-7-16,TBA,TBA,93,2019summer
61037,79,TBA,,2019-6-19,2019-7-16,TBA,TBA,93,2019summer
61038,80,TBA,,2019-7-22,2019-8-16,TBA,TBA,94,2019summer
61039,80,TBA,,2019-7-22,2019-8-16,TBA,TBA,94,2019summer
60965,81,TBA,,2019-7-29,2019-8-16,TBA,TBA,95,2019summer
60966,81,TBA,,2019-7-29,2019-8-16,TBA,TBA,95,2019summer
60729,82,TBA,,2019-7-19,2019-8-13,TBA,TBA,96,2019summer
60731,82,TBA,,2019-7-19,2019-8-13,TBA,TBA,96,2019summer
60557,83,ARTS 108,MTWRF,2019-6-27,2019-8-13,16:00,17:20,97,2019summer
60868,84,TBA,,2019-7-17,2019-8-28,TBA,TBA,97,2019summer
61029,84,TBA,,2019-6-27,2019-8-13,TBA,TBA,98,2019summer
60041,85,ARTS 133,MTWRF,2019-6-27,2019-7-18,8:30,10:50,99,2019summer
61010,84,TBA,,2019-7-17,2019-8-28,TBA,TBA,99,2019summer
60046,86,ARTS 108,MTWRF,2019-7-23,2019-8-13,8:30,10:50,100,2019summer
