 ,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Type,Days,Time,Cap,Avail,Instructor,Date (DD-MM),Location,Attribute
 ,41224,XCHG,000,30,OFF,15.0,Acad Exch Yokohama NationalU of S Int'l Approval Required,XNA,,TBA,10,10,TBA,01-Jun22-Jun,TBA,No Academic CreditOff Campus Student FeesTuition - Outbound ExchangeAcademic Exchange Program
 ,41507,XCHG,002,01,OFF,6.0,On Summer Academic Exchange - Darmstadt, Germany ,XNA,,TBA,1,0,TBA,01-May31-Aug,TBA,No Academic CreditOff Campus Student FeesTuition - Outbound ExchangeAcademic Exchange Program
 ,41360,AREC,994,01,SK,7.5,Research ,SSI,,TBA,40,24,TBA,09-May22-Jun,TBA,1st Half of a Multi-term ClassNo Academic CreditOn Campus Student FeesFee - Graduate Studies
 , , , , , , , , ,,TBA, , ,TBA,28-Jun14-Aug,TBA, 
 ,41361,AREC,996,01,SK,7.5,Research ,SSI,,TBA,40,33,TBA,09-May22-Jun,TBA,1st Half of a Multi-term ClassNo Academic CreditOn Campus Student FeesFee - Graduate Studies
 , , , , , , , , ,,TBA, , ,TBA,28-Jun14-Aug,TBA, 
 ,40508,AGRC,112,W01,OFF,1.5,Animal Agriculture and Food Science ,WEB,,TBA,50,28,Dianne C  Winkelman-Sim (P),09-May22-Jun,TBA,Distance Education Unit1st Half of a Multi-term ClassOff Campus Student FeesTuition - Category 13Class Is Offered On-Line Only
 , , , , , , , , ,,TBA, , ,Dianne C  Winkelman-Sim (P),28-Jun14-Aug,TBA, 
 ,41002,ACB,994,01,SK,7.5,Research ,SSI,,TBA,10,6,David J  Schreyer (P),09-May22-Jun,TBA,1st Half of a Multi-term ClassNo Academic CreditOn Campus Student FeesFee - Graduate Studies
 , , , , , , , , ,,TBA, , ,TBA,28-Jun14-Aug,TBA, 
 ,40194,ACB,996,01,SK,7.5,Research ,SSI,,TBA,45,35,David J  Schreyer (P),09-May22-Jun,TBA,1st Half of a Multi-term ClassNo Academic CreditOn Campus Student FeesFee - Graduate Studies
 , , , , , , , , ,,TBA, , ,David J  Schreyer (P),28-Jun14-Aug,TBA, 
 ,41622,ANSC,898,02,SK,1.5,Fibre Digestion in Ruminants ,RDG,,TBA,1,0,Greg B  Penner (P),09-May22-Jun,TBA,1st Half of a Multi-term ClassOn Campus Student FeesFee - Graduate Studies
 , , , , , , , , ,,TBA, , ,Greg B  Penner (P),28-Jun14-Aug,TBA, 
 ,40134,ANSC,994,01,SK,7.5,Research ,SSI,,TBA,50,6,TBA,09-May22-Jun,TBA,1st Half of a Multi-term ClassNo Academic CreditOn Campus Student FeesFee - Graduate Studies
 , , , , , , , , ,,TBA, , ,TBA,28-Jun14-Aug,TBA, 
 ,40193,ANSC,996,01,SK,7.5,Research ,SSI,,TBA,30,4,TBA,09-May22-Jun,TBA,1st Half of a Multi-term ClassNo Academic CreditOn Campus Student FeesFee - Graduate Studies
 , , , , , , , , ,,TBA, , ,TBA,28-Jun14-Aug,TBA, 
 ,41421,ANTH,111,01,SK,3.0,One World Many Peoples Introduction to Cultural Anthropology ,LEC,MTWRF,11:00 am- 01:20 pm,75,57,Clinton N  Westman (P),04-Jun22-Jun,AGRI 2E25,On Campus Student FeesSocial Sciences Program TypeTuition - Category 1
 ,40108,ANTH,111,X01,OFF,1.5,One World Many Peoples Introduction to Cultural Anthropology ,IND,,TBA,30,24,Elaine   Hulse (P),09-May22-Jun,TBA,Distance Education UnitMaterials Fees Assessed1st Half of a Multi-term ClassOff Campus Student FeesSocial Sciences Program TypeTuition - Category 1
 , , , , , , , , ,,TBA, , ,Elaine   Hulse (P),28-Jun14-Aug,TBA, 
 ,41489,ANTH,233*,61,OFF,3.0,Anthropological Perspectives on Contemporary UkraineDepartmental Approval Required,LEC,,TBA,5,0,Natalia   Khanenko-Friesen (P),30-Apr08-Jun,UKRN ,Audit Allowed with PermissionStudy abroadOff Campus Student FeesSocial Sciences Program TypeSt. Thomas More College ClassTuition - Category 1
 ,40135,ANTH,994,01,SK,7.5,Research ,SSI,,TBA,18,1,Clinton N  Westman (P),09-May22-Jun,TBA,1st Half of a Multi-term ClassNo Academic CreditOn Campus Student FeesFee - Graduate Studies
 , , , , , , , , ,,TBA, , ,Clinton N  Westman (P),28-Jun14-Aug,TBA, 
 ,40195,APMC,996,01,SK,7.5,Research ,SSI,,TBA,20,16,TBA,09-May22-Jun,TBA,1st Half of a Multi-term ClassNo Academic CreditOn Campus Student FeesFee - Graduate Studies
 ,41422,ARCH,112,01,SK,3.0,The Human Journey Introduction to Archaeology and Biological Anthropology ,LEC,MTWRF,11:00 am- 01:20 pm,75,49,Aileen A  Novecosky (P),09-May30-May,AGRI 2E25,On Campus Student FeesSocial Sciences Program TypeTuition - Category 8
 ,40112,ARCH,112,X01,OFF,1.5,The Human Journey Introduction to Archaeology and Biological Anthropology ,IND,,TBA,30,22,Aileen A  Novecosky (P),09-May22-Jun,TBA,Distance Education UnitMaterials Fees Assessed1st Half of a Multi-term ClassOff Campus Student FeesSocial Sciences Program TypeTuition - Category 8
 , , , , , , , , ,,TBA, , ,Aileen A  Novecosky (P),28-Jun14-Aug,TBA, 
 ,41496,ARCH,300*,01,SK,3.0,Advanced Environmental ArchaeologyDepartmental Approval Required,RDG,,TBA,1,0,Glenn S  Stuart (P),09-May22-Jun,NA NO ROOM,Undergraduate researchOn Campus Student FeesSocial Sciences Program TypeTuition - Category 8
 ,41419,ARCH,361*,U01,OFF,6.0,Archaeological Field Methods ,FLD,MTWRF,09:00 am- 03:00 pm,30,17,Ernie G  Walker (P), Glenn S  Stuart ,09-May22-Jun,TBA,Field-based instructionOff Campus Student FeesSocial Sciences Program TypeTuition - Category 8Exam Date TBA by Instructor
 ,40137,ARCH,994,01,SK,7.5,Research ,SSI,,TBA,23,7,Clinton N  Westman (P), Glenn S  Stuart ,09-May22-Jun,TBA,1st Half of a Multi-term ClassNo Academic CreditOn Campus Student FeesFee - Graduate Studies
 , , , , , , , , ,,TBA, , ,Clinton N  Westman (P), Glenn S  Stuart ,28-Jun14-Aug,TBA, 
 ,40293,ARCH,996,01,SK,7.5,Research ,SSI,,TBA,1,0,Clinton N  Westman (P),09-May22-Jun,TBA,1st Half of a Multi-term ClassNo Academic CreditOn Campus Student FeesFee - Graduate Studies
 , , , , , , , , ,,TBA, , ,Clinton N  Westman (P),28-Jun14-Aug,TBA, 
 ,40012,ART,112,01,SK,6.0,Drawing I Foundation ,LEC,MTWR,01:30 pm- 04:20 pm,26,4,Clinton W  Hunker (P), Xiao   Han ,09-May22-Jun,MURRY 190,Audit Allowed with PermissionFine Arts Program TypeOn Campus Student FeesTuition - Category 1No Exam - Exemption Authorized
 ,40388,ART,141,02,SK,3.0,Sculpture I Foundation ,LEC,MTWR,01:30 pm- 04:20 pm,22,5,William V  Lee (P),04-Jun22-Jun,RANNEX 129,Audit Allowed with PermissionFine Arts Program TypeOn Campus Student FeesTuition - Category 1
 ,41433,ART,151,02,SK,3.0,Introductory Printmaking I ,LEC,MTWR,09:30 am- 12:20 pm,15,-1,Patrick M  Bulas (P),09-May30-May,MURRY 64,Audit Allowed with PermissionFine Arts Program TypeOn Campus Student FeesTuition - Category 1
 ,41434,ART,152,02,SK,3.0,Introductory Printmaking II ,LEC,MTWR,09:30 am- 12:20 pm,15,12,Patrick M  Bulas (P),04-Jun22-Jun,MURRY 64,Audit Allowed with PermissionFine Arts Program TypeOn Campus Student FeesTuition - Category 1
