 ,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Type,Days,Time,Cap,Avail,Instructor,Date (DD-MM),Location,Attribute
 ,87856,XCHG,000,02,OFF,15.0,On Academic Exchange in Aalborg Universitet in DenmarkU of S Int'l Approval Required,XNA,,TBA,10,9,TBA,01-Sep18-May,TBA,No Academic CreditOff Campus Student FeesTuition - Outbound ExchangeAcademic Exchange Program
 ,87857,XCHG,000,03,OFF,15.0,On Academic Exchange Beijing Normal University in ChinaU of S Int'l Approval Required,XNA,,TBA,10,9,TBA,01-Sep20-Apr,TBA,No Academic CreditOff Campus Student FeesTuition - Outbound ExchangeAcademic Exchange Program
 ,87858,XCHG,000,04,OFF,15.0,On Academic Exchange Carl Von Ossietzky Universität Oldenburg in GermanyU of S Int'l Approval Required,XNA,,TBA,10,9,TBA,01-Oct07-Feb,TBA,No Academic CreditOff Campus Student FeesTuition - Outbound ExchangeAcademic Exchange Program
 ,87859,XCHG,000,05,OFF,15.0,On Academic Exchange CESINE University Centre in SpainU of S Int'l Approval Required,XNA,,TBA,10,9,TBA,03-Sep20-Nov,TBA,No Academic CreditOff Campus Student FeesTuition - Outbound ExchangeAcademic Exchange Program
 ,87384,XCHG,000,06,OFF,9.0,Acad Exch Masaryk Univ Czech RU of S Int'l Approval Required,XNA,,TBA,10,10,TBA,01-Jun05-Dec,TBA,No Academic CreditOff Campus Student FeesTuition - Outbound ExchangeAcademic Exchange Program
 ,87860,XCHG,000,07,OFF,15.0,On Academic Exchange Chung-Ang University in South KoreaU of S Int'l Approval Required,XNA,,TBA,10,8,TBA,01-Sep25-Nov,TBA,No Academic CreditOff Campus Student FeesTuition - Outbound ExchangeAcademic Exchange Program
 ,87861,XCHG,000,08,OFF,15.0,on Academic Exchange Duale Hochschule Baden-Württemberg Stuttgart in GermanyU of S Int'l Approval Required,XNA,,TBA,10,8,TBA,22-Sep29-Jan,TBA,No Academic CreditOff Campus Student FeesTuition - Outbound ExchangeAcademic Exchange Program
 ,87862,XCHG,000,09,OFF,15.0,On Academic Exchange Eötvös Loránd Tudományegyetem in HungryU of S Int'l Approval Required,XNA,,TBA,10,8,TBA,02-Sep18-Dec,TBA,No Academic CreditOff Campus Student FeesTuition - Outbound ExchangeAcademic Exchange Program
 ,87863,XCHG,000,13,OFF,15.0,On Academic Exchange Fachhochschule Wiener Neustadt in AustriaU of S Int'l Approval Required,XNA,,TBA,10,7,TBA,16-Sep23-Dec,TBA,No Academic CreditOff Campus Student FeesTuition - Outbound ExchangeAcademic Exchange Program
 ,86226,XCHG,000,16,OFF,15.0,On Academic Exchange Vrije Universiteit Amsterdam in Netherlands ,XNA,,TBA,10,7,TBA,01-Sep05-Dec,TBA,No Academic CreditOff Campus Student FeesTuition - Outbound ExchangeAcademic Exchange Program
 ,87442,XCHG,000,24,OFF,15.0,Acad Exch Univ Canberra ,XNA,,TBA,10,10,TBA,01-Jun05-Dec,TBA,No Academic CreditOff Campus Student FeesTuition - Outbound ExchangeAcademic Exchange Program
 ,87382,XCHG,000,25,OFF,15.0,Acad Exch Univ Svalbard NorwayU of S Int'l Approval Required,XNA,,TBA,10,10,TBA,01-Jun05-Dec,TBA,No Academic CreditOff Campus Student FeesTuition - Outbound ExchangeAcademic Exchange Program
 ,87864,XCHG,000,26,OFF,15.0,On Academic Exchange Háskóli Íslands in IcelandU of S Int'l Approval Required,XNA,,TBA,10,10,TBA,21-Aug11-Nov,TBA,No Academic CreditOff Campus Student FeesTuition - Outbound ExchangeAcademic Exchange Program
 ,87865,XCHG,000,27,OFF,15.0,On Academic Exchange Högskolan i Jönköping in SwedenU of S Int'l Approval Required,XNA,,TBA,10,10,TBA,19-Aug17-Nov,TBA,No Academic CreditOff Campus Student FeesTuition - Outbound ExchangeAcademic Exchange Program
 ,87866,XCHG,000,28,OFF,15.0,On Academic Exchange Hong Kong Baptist University in Hong KongU of S Int'l Approval Required,XNA,,TBA,10,10,TBA,29-Aug18-Nov,TBA,No Academic CreditOff Campus Student FeesTuition - Outbound ExchangeAcademic Exchange Program
 ,87867,XCHG,000,29,OFF,15.0,On Academic Exchange Lunds universitet in SwedenU of S Int'l Approval Required,XNA,,TBA,10,7,TBA,02-Sep10-Dec,TBA,No Academic CreditOff Campus Student FeesTuition - Outbound ExchangeAcademic Exchange Program
 ,87381,XCHG,000,30,OFF,15.0,Acad Exch Stockholms U SwedenU of S Int'l Approval Required,XNA,,TBA,10,10,TBA,01-Jun05-Dec,TBA,No Academic CreditOff Campus Student FeesTuition - Outbound ExchangeAcademic Exchange Program
 ,87873,XCHG,000,31,OFF,15.0,On Academic Exchange Université de Liège in BelgiumU of S Int'l Approval Required,XNA,,TBA,10,10,TBA,16-Sep24-Nov,TBA,No Academic CreditOff Campus Student FeesTuition - Outbound ExchangeAcademic Exchange Program
 ,87868,XCHG,000,33,OFF,15.0,On Academic Exchange Masarykova Univerzita v Brne in Czech RepublicU of S Int'l Approval Required,XNA,,TBA,10,9,TBA,08-Sep28-Dec,TBA,No Academic CreditOff Campus Student FeesTuition - Outbound ExchangeAcademic Exchange Program
 ,87872,XCHG,000,34,OFF,15.0,On Academic Exchange Umeå universitet in SwedenU of S Int'l Approval Required,XNA,,TBA,10,8,TBA,02-Sep27-Apr,TBA,No Academic CreditOff Campus Student FeesTuition - Outbound ExchangeAcademic Exchange Program
 ,87380,XCHG,000,35,OFF,15.0,Acad Exch Phillipps Mar GermanU of S Int'l Approval Required,XNA,,TBA,10,10,TBA,01-Jun05-Dec,TBA,No Academic CreditOff Campus Student FeesTuition - Outbound ExchangeAcademic Exchange Program
 ,87401,XCHG,000,36,OFF,15.0,Acad Exch Univ Liverpool UKU of S Int'l Approval Required,XNA,,TBA,10,10,TBA,01-Jun05-Dec,TBA,No Academic CreditOff Campus Student FeesTuition - Outbound ExchangeAcademic Exchange Program
