 ,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Type,Days,Time,Cap,Avail,Instructor,Date (DD-MM),Location,Attribute
 ,61123,XCHG,002,02,OFF,3.0,Summer Academic Exchange in Phillips Universitat Marburg in GermanyU of S Int'l Approval Required,XNA,,TBA,10,10,TBA,20-Jul18-Aug,TBA,No Academic CreditOff Campus Student FeesTuition - Outbound ExchangeAcademic Exchange Program
 ,61129,XCHG,002,03,OFF,6.0,On Academic Exchange Phillips Universitat Marburg in GermanyU of S Int'l Approval Required,XNA,,TBA,10,9,TBA,20-Jul18-Aug,TBA,No Academic CreditOff Campus Student FeesTuition - Outbound ExchangeAcademic Exchange Program
 ,61107,XCHG,003,55,OFF,3.0,On Academic Exchange Hong Kong Baptist University in Hong KongU of S Int'l Approval Required,XNA,,TBA,10,9,TBA,01-Jul30-Jul,TBA,No Academic CreditOff Campus Student FeesTuition - Outbound ExchangeAcademic Exchange Program
 ,60792,AGRC,111,W02,OFF,3.0,Discovery in Plant and Soil Sciences ,WEB,,TBA,80,52,Barb A  Stefanyshyn-Cote (P),27-Jun13-Aug,TBA,Distance Education UnitOff Campus Student FeesTuition - Category 13Class Is Offered On-Line Only
 ,60804,ANBI,475*,01,SK,3.0,Field Studies in Arctic Ecosystems and Aboriginal PeoplesInstructors Signature Required,FLD,,TBA,16,2,Ryan K  Brook (P),10-Aug24-Aug,TBA,Off Campus Student FeesTuition - Category 13
 ,60955,ANTH,111,02,SK,3.0,One World Many Peoples Introduction to Cultural Anthropology ,LEC,MTWRF,11:00 am- 01:20 pm,75,25,Elaine   Hulse (P),27-Jun18-Jul,AGRI 5C61,On Campus Student FeesSocial Sciences Program TypeTuition - Category 1
 ,61082,ARCH,300*,01,OFF,3.0,Community-Based ArchaeologyDepartmental Approval Required,RDG,MTWRF,08:00 am- 11:59 am,6,0,Terence N  Clark (P),08-Jul23-Aug,NA NO_ROOM,Community engaged learningField-based instructionStudy abroadOff Campus Student FeesSocial Sciences Program TypeTuition - Category 8
 ,61083,ARCH,300*,02,OFF,3.0,Northwest Coast Archaeological Field MethodsDepartmental Approval Required,RDG,MTWRF,12:00 pm- 04:00 pm,6,0,Terence N  Clark (P),08-Jul23-Aug,NA NO_ROOM,Community engaged learningField-based instructionStudy abroadOff Campus Student FeesSocial Sciences Program TypeTuition - Category 8
 ,60006,ART,111,02,SK,6.0,Painting I Foundation ,LEC,MTWR,01:30 pm- 04:20 pm,29,3,Terry L  Billings (P),27-Jun13-Aug,MURRY 291,Audit Allowed with PermissionFine Arts Program TypeOn Campus Student FeesTuition - Category 8No Exam - Exemption Authorized
 ,60008,ART,112,02,SK,6.0,Drawing I Foundation ,LEC,MTWR,09:30 am- 12:20 pm,27,2,Xiao   Han (P),27-Jun13-Aug,MURRY 190,Audit Allowed with PermissionFine Arts Program TypeOn Campus Student FeesTuition - Category 8No Exam - Exemption Authorized
 ,60717,ART,136,01,SK,3.0,Digital and Integrated Practice I Foundation ,LEC,MTWR,09:30 am- 12:20 pm,16,3,Jordan L  Schwab (P),27-Jun18-Jul,MURRY 184,Audit Allowed with PermissionFine Arts Program TypeOn Campus Student FeesTuition - Category 8
 ,60674,ART,141,02,SK,3.0,Sculpture I Foundation ,LEC,MTWR,01:30 pm- 04:20 pm,22,1,Jordan L  Schwab (P),23-Jul13-Aug,RANNEX 129,Audit Allowed with PermissionFine Arts Program TypeOn Campus Student FeesTuition - Category 8
 ,61024,ART,216*,03,SK,6.0,Photography II ,LEC,MTWR,01:30 pm- 04:20 pm,24,8,Frances E  Robson (P),27-Jun13-Aug,MURRY 182,Audit Allowed with PermissionFine Arts Program TypeA Multi-term CourseOn Campus Student FeesTuition - Category 8
